Python,20.86816
2 threads __fp16 -lm -lrt -O1 -funroll-loops,0.66279,3.12284e-15,
4 threads __fp16 -lm -lrt -O1 -funroll-loops,0.69899,3.12284e-15,
8 threads __fp16 -lm -lrt -O1 -funroll-loops,0.68780,3.12284e-15,
16 threads __fp16 -lm -lrt -O1 -funroll-loops,0.67717,3.12284e-15,
32 threads __fp16 -lm -lrt -O1 -funroll-loops,0.68192,3.12284e-15,
unthreaded double -lm -lrt -O2,1.27275,2.08545e-15,
1 threads double -lm -lrt -O2,1.19769,2.08545e-15,
2 threads double -lm -lrt -O2,1.26519,2.08545e-15,
4 threads double -lm -lrt -O2,1.27639,2.08545e-15,
8 threads double -lm -lrt -O2,1.24301,2.08545e-15,
16 threads double -lm -lrt -O2,1.26783,2.08545e-15,
32 threads double -lm -lrt -O2,1.25668,2.08545e-15,
unthreaded float -lm -lrt -O2,0.65381,3.12284e-15,
1 threads float -lm -lrt -O2,0.63914,3.12284e-15,
2 threads float -lm -lrt -O2,0.64968,3.12284e-15,
4 threads float -lm -lrt -O2,0.69147,3.12284e-15,
8 threads float -lm -lrt -O2,0.68150,3.12284e-15,
16 threads float -lm -lrt -O2,0.67365,3.12284e-15,
32 threads float -lm -lrt -O2,0.67536,3.12284e-15,
unthreaded __fp16 -lm -lrt -O2,0.68203,3.12284e-15,
1 threads __fp16 -lm -lrt -O2,0.64039,3.12284e-15,
2 threads __fp16 -lm -lrt -O2,0.66116,3.12284e-15,
4 threads __fp16 -lm -lrt -O2,0.71571,3.12284e-15,
8 threads __fp16 -lm -lrt -O2,0.70070,3.12284e-15,
16 threads __fp16 -lm -lrt -O2,0.70493,3.12284e-15,
32 threads __fp16 -lm -lrt -O2,0.68394,3.12284e-15,
unthreaded double -lm -lrt -O2 -funroll-loops,1.24951,2.08545e-15,
1 threads double -lm -lrt -O2 -funroll-loops,1.21926,2.08545e-15,
2 threads double -lm -lrt -O2 -funroll-loops,1.26947,2.08545e-15,
4 threads double -lm -lrt -O2 -funroll-loops,1.25764,2.08545e-15,
8 threads double -lm -lrt -O2 -funroll-loops,1.30234,2.08545e-15,
16 threads double -lm -lrt -O2 -funroll-loops,1.27429,2.08545e-15,
32 threads double -lm -lrt -O2 -funroll-loops,1.26045,2.08545e-15,
unthreaded float -lm -lrt -O2 -funroll-loops,0.67588,3.12284e-15,
1 threads float -lm -lrt -O2 -funroll-loops,0.63863,3.12284e-15,
2 threads float -lm -lrt -O2 -funroll-loops,0.66923,3.12284e-15,
4 threads float -lm -lrt -O2 -funroll-loops,0.82179,3.12284e-15,
8 threads float -lm -lrt -O2 -funroll-loops,0.67617,3.12284e-15,
16 threads float -lm -lrt -O2 -funroll-loops,0.67158,3.12284e-15,
32 threads float -lm -lrt -O2 -funroll-loops,0.69626,3.12284e-15,
unthreaded __fp16 -lm -lrt -O2 -funroll-loops,0.65851,3.12284e-15,
1 threads __fp16 -lm -lrt -O2 -funroll-loops,0.65049,3.12284e-15,
2 threads __fp16 -lm -lrt -O2 -funroll-loops,0.64697,3.12284e-15,
4 threads __fp16 -lm -lrt -O2 -funroll-loops,0.70640,3.12284e-15,
8 threads __fp16 -lm -lrt -O2 -funroll-loops,0.88319,3.12284e-15,
16 threads __fp16 -lm -lrt -O2 -funroll-loops,0.69701,3.12284e-15,
32 threads __fp16 -lm -lrt -O2 -funroll-loops,0.68444,3.12284e-15,
unthreaded double -lm -lrt -Ofast,1.20766,2.08545e-15,
1 threads double -lm -lrt -Ofast,1.19620,2.08545e-15,
2 threads double -lm -lrt -Ofast,1.17532,2.08545e-15,
4 threads double -lm -lrt -Ofast,1.23715,2.08545e-15,
8 threads double -lm -lrt -Ofast,1.23549,2.08545e-15,
16 threads double -lm -lrt -Ofast,1.24578,2.08545e-15,
32 threads double -lm -lrt -Ofast,1.25857,2.08545e-15,
unthreaded float -lm -lrt -Ofast,0.61629,3.12284e-15,
1 threads float -lm -lrt -Ofast,0.60083,3.12284e-15,
2 threads float -lm -lrt -Ofast,0.61280,3.12284e-15,
